Class Label,Confusion Matrix,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1 Score,MCC
5S_rRNA,"[[691   0]
 [  6  44]]",44,691,0,6,0.992,1.0,0.88,0.936,0.934
5_8S_rRNA,"[[690   1]
 [  0  50]]",50,690,1,0,0.999,0.98,1.0,0.99,0.989
tRNA,"[[682   9]
 [  0  50]]",50,682,9,0,0.988,0.847,1.0,0.917,0.915
ribozyme,"[[689   2]
 [  6  44]]",44,689,2,6,0.989,0.957,0.88,0.917,0.912
CD-box,"[[680  11]
 [ 11  39]]",39,680,11,11,0.97,0.78,0.78,0.78,0.764
miRNA,"[[666  24]
 [ 17  34]]",34,666,24,17,0.945,0.586,0.667,0.624,0.596
Intron_gpI,"[[691   0]
 [  2  48]]",48,691,0,2,0.997,1.0,0.96,0.98,0.978
Intron_gpII,"[[688   3]
 [  2  48]]",48,688,3,2,0.993,0.941,0.96,0.95,0.947
scaRNA,"[[684   7]
 [ 13  37]]",37,684,7,13,0.973,0.841,0.74,0.787,0.775
HACA-box,"[[679  12]
 [ 15  35]]",35,679,12,15,0.964,0.745,0.7,0.722,0.703
riboswitch,"[[679  12]
 [  7  43]]",43,679,12,7,0.974,0.782,0.86,0.819,0.806
IRES,"[[686   4]
 [ 18  33]]",33,686,4,18,0.97,0.892,0.647,0.75,0.745
leader,"[[682   9]
 [  6  44]]",44,682,9,6,0.98,0.83,0.88,0.854,0.844
mRNA,"[[638  14]
 [  5  84]]",84,638,14,5,0.974,0.857,0.944,0.898,0.885
